;;;;
BORDERÔ (FECHAMENTO DE VALORES) - EVENTO DO SÃOCARLINO COMEDY;;;;
;;;;
Evento:;"KEDNY SILVA ""SERVIÇO OBRIGATÓRIO""";;;
Data: ;18/10/2025;;;
Local: ;Green Gastrofish (R. José Leme Marques, 30, V. S. José - S.Carlos/SP;;;
;;;;
ORIGEM;VALOR BRUTO;DESCONTO;VALOR LÍQUIDO;
Vendas Sympla;R$ 539,00;R$ 56,50;R$ 482,50;
Vendas Pix;R$ 0,00;R$ 0,00;R$ 0,00;
;;VALOR TOTAL;R$ 482,50;
;;;;
;;DIVULGAÇÃO;R$ 200,00;
;;TOTAL LÍQUIDO;R$ 282,50;
;;;;
;DIVISÃO DE LUCROS;(%);VALOR;
;KEDNY;50;R$ 141,25;
;SÃOCARLINO COM.;50;R$ 141,25;
;;;;
;;PAGAMENTOS;VALORES;
;;BILHETERIA;R$ 141,25;
;;LOGÍSTICA;R$ 0,00;
;;TOTAL;R$ 141,25;
