;;;;
BORDERÔ (FECHAMENTO DE VALORES) - EVENTO DO SÃOCARLINO COMEDY;;;;
;;;;
Evento:;"KEDNY SILVA ""SERVIÇO OBRIGATÓRIO""";;;
Data: ;18/10/2025;;;
Local: ;Green Gastrofish (R. José Leme Marques, 30, V. S. José - S.Carlos/SP;;;
;;;;
DESPESAS;VALOR BRUTO;DESCONTO;VALOR LÍQUIDO;
Logística;R$ 228,00;R$ 0,00;R$ 228,00;
Hotel;R$ 145,00;R$ 0,00;R$ 145,00;
;;VALOR TOTAL;R$ 373,00;
;;;;
BILHETERIA;VALOR BRUTO;DESCONTO;VALOR LÍQUIDO;
;R$ 539,00;R$ 514,25;R$ 24,75;
;;VALOR TOTAL;R$ 24,75;
;;;;
;;DIVULGAÇÃO;R$ 64,00;
;;TOTAL LÍQUIDO;-R$ 412,25;
;;;;
;;TOTAL;-R$ 412,25;
